Ciclo 0161 | Temp:    2.59 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.0983s
Ciclo 0162 | Temp:    2.46 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.0988s
Ciclo 0163 | Temp:    2.34 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.0993s
Ciclo 0164 | Temp:    2.22 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.0998s
Ciclo 0165 | Temp:    2.11 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1004s
Ciclo 0166 | Temp:    2.01 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1010s
Ciclo 0167 | Temp:    1.90 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1016s
Ciclo 0168 | Temp:    1.81 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1022s
Ciclo 0169 | Temp:    1.72 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1028s
Ciclo 0170 | Temp:    1.63 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1034s
Ciclo 0171 | Temp:    1.55 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1039s
Ciclo 0172 | Temp:    1.47 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1045s
Ciclo 0173 | Temp:    1.40 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1050s
Ciclo 0174 | Temp:    1.33 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1056s
Ciclo 0175 | Temp:    1.26 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1062s
Ciclo 0176 | Temp:    1.20 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1067s
Ciclo 0177 | Temp:    1.14 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1072s
Ciclo 0178 | Temp:    1.08 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1077s
Ciclo 0179 | Temp:    1.03 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1083s
Ciclo 0180 | Temp:    0.98 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1088s
Ciclo 0181 | Temp:    0.93 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1093s
Ciclo 0182 | Temp:    0.88 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1099s
Ciclo 0183 | Temp:    0.84 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1105s
Ciclo 0184 | Temp:    0.80 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1110s
Ciclo 0185 | Temp:    0.76 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1115s
Ciclo 0186 | Temp:    0.72 | Melhor Custo: 2034.0 | Tempo Decorrido: 0.1121s
